Business Name,Address,City,State,Postal Code,Latitude,Longitude,Coord Source,Address Source
Huddle House (Swainsboro),438 S Main St,SWAINSBORO,GA,30401,32.5971,-82.3343,approx-town-level,huddlehouse.com/locations/ga/swainsboro
Huddle House (Ludowici),499 West Cypress St,LUDOWICI,GA,31316,31.7063,-81.7440,approx-town-level,huddlehouse.com/locations/ga/ludowici/499-west-cypress-street
Huddle House (Newberry),1264 Wilson Rd,NEWBERRY,SC,29108,34.2891,-81.6373,approx-town-level,huddlehouse.com/locations/sc/newberry/1264-wilson-road
Huddle House (Florence),1904 W Evans St,FLORENCE,SC,29501,34.1894,-79.8064,approx-town-level,huddlehouse.com/locations/sc/florence/1904-w-evans-st
Huddle House (York),808 E Liberty St,YORK,SC,29745,34.9954,-81.2343,approx-town-level,huddlehouse.com/locations/sc/york/808-e-liberty-street
Huddle House (Centreville),901 Birmingham Rd,CENTREVILLE,AL,35042,32.9534,-87.1311,approx-town-level,huddlehouse.com/locations/al/centreville/901-birmingham-road
Huddle House (Albertville),8081 US-431,ALBERTVILLE,AL,35950,34.2226,-86.1833,approx-town-level,huddlehouse.com/locations/al/albertville/8081-us-431
Huddle House (Cleveland),1051 King St,CLEVELAND,TN,37311,35.1573,-84.8761,approx-town-level,huddlehouse.com/locations/tn/cleveland/1051-king-st
Huddle House (Dyersburg),1120 US-51 BYP,DYERSBURG,TN,38024,36.0414,-89.3784,approx-town-level,locations.huddlehouse.com/tn/dyersburg
Huddle House (Franklin),914 Georgia Rd,FRANKLIN,NC,28734,35.1651,-83.3921,approx-town-level,huddlehouse.com/locations/nc/franklin/914-georgia-road
