Page,Section,Role,Item,Calories,Fat_g,SatFat_g,TransFat_g,Chol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,Allergens
1,BREAKFAST ALL-STAR SPECIAL,main,2 Eggs - Scrambled,180,14,4,1,338,176,2,0,2,12,"Egg, Soy."
1,BREAKFAST ALL-STAR SPECIAL,includes,Classic Waffle,410,18,10,0,50,870,55,2,15,8,"Egg, Milk, Soy, Tree Nuts, Wheat."
1,BREAKFAST ALL-STAR SPECIAL,main,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat."
1,BREAKFAST ALL-STAR SPECIAL,main,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat."
1,BREAKFAST ALL-STAR SPECIAL,choice,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat."
1,BREAKFAST ALL-STAR SPECIAL,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
1,BREAKFAST ALL-STAR SPECIAL,main,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat."
1,BREAKFAST ALL-STAR SPECIAL,choice,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat."
1,BREAKFAST ALL-STAR SPECIAL,main,Regular Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy.
1,BREAKFAST ALL-STAR SPECIAL,main,Sliced Tomatoes,10,0,0,0,0,0,2,0,2,0,
1,BREAKFAST ALL-STAR SPECIAL,choice,Bacon - 3 Slices,135,12,5,0,30,375,0,0,0,9,
1,BREAKFAST ALL-STAR SPECIAL,main,Sausage - 2 patties,260,24,8,0,50,510,1,0,0,10,
1,BREAKFAST ALL-STAR SPECIAL,main,Chicken Sausage - 2 patties,180,13,4,0,75,700,0,0,0,14,
1,BREAKFAST ALL-STAR SPECIAL,main,City Ham - 1 Slice,100,3,1,0,40,850,7,0,6,14,
1,BREAKFAST ALL-STAR SPECIAL,main,Country Ham - 1 Slice,190,9,3,0,95,2110,1,0,1,25,
1,BREAKFAST HASHBROWN BOWLS,main,Sausage Egg & Cheese Hashbrown Bowl,920,61,22,1,413,1666,63,6,3,33,
1,BREAKFAST HASHBROWN BOWLS,includes,Large Hashbrowns,380,14,5,0,0,480,58,6,0,6,Soy.
1,BREAKFAST HASHBROWN BOWLS,main,Sausage,260,24,8,0,50,510,1,0,0,10,
1,BREAKFAST HASHBROWN BOWLS,main,2 Eggs - Scrambled,180,14,4,1,338,176,2,0,2,12,"Egg, Soy."
1,BREAKFAST HASHBROWN BOWLS,main,American Cheese (2 Slices),100,9,5,0,25,500,2,0,1,5,"Milk, Soy."
1,BREAKFAST HASHBROWN BOWLS,main,Chicken Sausage Egg & Cheese Hashbrown Bowl,840,50,18,1,438,1856,62,6,3,37,
